Relationship,Maragoli,Notes,Example Sentence (English),filename,transcript
Father,Tata,Indigenous term for “father” with dialect-specific vowel shifts,My father (Tata) is a wise man.,tata_1742375139.wav,Tata
Mother,Nyina,Indigenous term for “mother” reflecting Maragoli usage,My mother (Nyina) cares for me.,nyina_1742375247.wav,Nyina
Son (male child),Omuyaye,Term for a male child with a characteristic Maragoli suffix,Her son (Omuyaye) is playful.,omuyaye_1742375369.wav,Omuyaye
Daughter (female child),Omukhana,Term for a female child; usage remains consistent,His daughter (Omukhana) sings beautifully.,omukhana_1742375442.wav,Omukhana
Brother,Mukhwana,Term for a male sibling with minor vowel variation,My brother (Mukhwana) supports me.,mukhwana_1743320892.wav,Mukhwana
Sister,Mukhasi,Term for a female sibling; slight variation from related dialects,Her sister (Mukhasi) is kind.,mukhasi_1743320993.wav,Mukhasi
Paternal Uncle,Khotsa,Term for father’s brother; the final vowel reflects Maragoli nuance,My paternal uncle (Khotsa) tells stories.,khotsa_1743321050.wav,Khotsa
Maternal Uncle,Jomba,Term for mother’s brother with a final vowel alternation,My maternal uncle (Jomba) is knowledgeable.,jomba_1743321103.wav,Jomba
Paternal Aunt,Shisukhu,Term for father’s sister; ending adjusted for Maragoli usage,My paternal aunt (Shisukhu) cooks well.,shisukhu_1743321156.wav,Shisukhu
Maternal Aunt,Senje,Common term for mother’s sister found in literature,My maternal aunt (Senje) nurtures the family.,senje_1743321205.wav,Senje
Grandfather,Khuka,Uniform term for “grandfather” in Maragoli,My grandfather (Khuka) is respected.,khuka_1743321259.wav,Khuka
Grandmother,Kukhu,Term for “grandmother” with a form typical of Maragoli,My grandmother (Kukhu) is cherished.,kukhu_1743321344.wav,Kukhu
Male Cousin,Mwana wa malume,Term for a male cousin with consistent vowel usage,My cousin (Mwana wa malume) lives nearby.,mwana_wa_malume_1743321398.wav,Mwana wa malume
Female Cousin,Mwana wa malume,Term for a female cousin; usage remains uniform,Her cousin (Mwana wa malume) is a teacher.,mwana_wa_malume_1743321437.wav,Mwana wa malume
Nephew,Umwikho,Term for the son of one’s sibling,My nephew (Umwikho) is energetic.,umwikho_1743321508.wav,Umwikho
Niece,Umwikho,Term for the daughter of one’s sibling,My niece (Umwikho) loves to dance.,umwikho_1743321541.wav,Umwikho
Father-in-law,Sasamwenga,Term for father-in-law reflecting marital kinship in Maragoli,His father-in-law (Sasamwenga) is respected.,sasamwenga_1743321603.wav,Sasamwenga
Mother-in-law,Nyawamwenga,Uniform term for mother-in-law in Maragoli,Her mother-in-law (Nyawamwenga) offers wisdom.,nyawamwenga_1743321644.wav,Nyawamwenga
Brother-in-law,Mukhwe,Term for a brother-in-law; form is consistent in Maragoli,My brother-in-law (Mukhwe) is supportive.,mukhwe_1743321699.wav,Mukhwe
Sister-in-law,Mukhana wa mukuru,Term for a sister-in-law with a similar structure,My sister-in-law (Mukhana wa mukuru) is caring.,mukhana_wa_mukuru_1743321793.wav,Mukhana wa mukuru
Step-father,Tata wa chindichi,Term for a non-biological father figure, reflecting a typical Maragoli form,tata_wa_chindichi_1743321879.wav,Tata wa chindichi
Step-mother,Nyina wa chindichi,Term for a non-biological mother figure with uniform usage,His step-mother (Nyina wa chindichi) is kind.,nyina_wa_chindichi_1743321936.wav,Nyina wa chindichi
Great-Grandfather,Khuka munene,Term for great-grandfather with a traditional Maragoli form,Our great-grandfather (Khuka munene) is remembered.,khuka_munene_1743322002.wav,Khuka munene
Great-Grandmother,Kukhu munene,Term for great-grandmother; similar usage in Maragoli,Our great-grandmother (Kukhu munene) is honored.,kukhu_munene_1743322082.wav,Kukhu munene
Grandchild,Mwizukha,Term for grandchild in Maragoli with consistent usage,Our grandchild (Mwizukha) brings us joy.,mwizukha_1743322150.wav,Mwizukha
Ancestor,Vasakuru,Plural form referring to forefathers or ancestors,Our ancestors (Vasakuru) guide us.,vasakuru_1743322257.wav,Vasakuru
Descendant,Omwisali,Term for a descendant in Maragoli lineage,She is a proud descendant (Omwisali) of a great family.,omwisali_1743322314.wav,Omwisali
Son-in-law,Mwiseke,Term for a son-in-law in Maragoli,Her son-in-law (Mwiseke) is very hardworking.,mwiseke_1743322370.wav,Mwiseke
Daughter-in-law,Mukhwana wa mukuru,Term for a daughter-in-law; follows Maragoli naming pattern,Our daughter-in-law (Mukhwana wa mukuru) is part of the family.,mukhwana_wa_mukuru_1743322439.wav,Mukhwana wa mukuru
Parents-in-law,Vakhwe,General term for parents-in-law, plural of Mukhwe,vakhwe_1743322626.wav,Vakhwe
Orphan,Omukhana wa chinyafu,Term for an orphan, referring to a child without one or both parents,omukhana_wa_chinyafu_1743322674.wav,Omukhana wa chinyafu
Twin,Vana va mapasa,Plural form for twins in Maragoli,The twins (Vana va mapasa) are inseparable.,vana_va_mapasa_1743322716.wav,Vana va mapasa
Co-wife,Muganyi,Term for a co-wife in a polygamous family,Her co-wife (Muganyi) helped raise the children.,muganyi_1743322768.wav,Muganyi
