Relationship,Maragoli,Notes,Example Sentence (English)
Father,Tata,Indigenous term for “father” with dialect-specific vowel shifts,"My father (Tata) is a wise man."
Mother,Nyina,Indigenous term for “mother” reflecting Maragoli usage,"My mother (Nyina) cares for me."
Son (male child),Omuyaye,Term for a male child with a characteristic Maragoli suffix,"Her son (Omuyaye) is playful."
Daughter (female child),Omukhana,Term for a female child; usage remains consistent,"His daughter (Omukhana) sings beautifully."
Brother,Mukhwana,Term for a male sibling with minor vowel variation,"My brother (Mukhwana) supports me."
Sister,Mukhasi,Term for a female sibling; slight variation from related dialects,"Her sister (Mukhasi) is kind."
Paternal Uncle,Khotsa,Term for father’s brother; the final vowel reflects Maragoli nuance,"My paternal uncle (Khotsa) tells stories."
Maternal Uncle,Jomba,Term for mother’s brother with a final vowel alternation,"My maternal uncle (Jomba) is knowledgeable."
Paternal Aunt,Shisukhu,Term for father’s sister; ending adjusted for Maragoli usage,"My paternal aunt (Shisukhu) cooks well."
Maternal Aunt,Senje,Common term for mother’s sister found in literature,"My maternal aunt (Senje) nurtures the family."
Grandfather,Khuka,Uniform term for “grandfather” in Maragoli,"My grandfather (Khuka) is respected."
Grandmother,Kukhu,Term for “grandmother” with a form typical of Maragoli,"My grandmother (Kukhu) is cherished."
Male Cousin,Mwana wa malume,Term for a male cousin with consistent vowel usage,"My cousin (Mwana wa malume) lives nearby."
Female Cousin,Mwana wa malume,Term for a female cousin; usage remains uniform,"Her cousin (Mwana wa malume) is a teacher."
Nephew,Umwikho,Term for the son of one’s sibling,"My nephew (Umwikho) is energetic."
Niece,Umwikho,Term for the daughter of one’s sibling,"My niece (Umwikho) loves to dance."
Father-in-law,Sasamwenga,Term for father-in-law reflecting marital kinship in Maragoli,"His father-in-law (Sasamwenga) is respected."
Mother-in-law,Nyawamwenga,Uniform term for mother-in-law in Maragoli,"Her mother-in-law (Nyawamwenga) offers wisdom."
Brother-in-law,Mukhwe,Term for a brother-in-law; form is consistent in Maragoli,"My brother-in-law (Mukhwe) is supportive."
Sister-in-law,Mukhana wa mukuru,Term for a sister-in-law with a similar structure,"My sister-in-law (Mukhana wa mukuru) is caring."
Step-father,Tata wa chindichi,Term for a non-biological father figure, reflecting a typical Maragoli form,"Her step-father (Tata wa chindichi) treats her well."
Step-mother,Nyina wa chindichi,Term for a non-biological mother figure with uniform usage,"His step-mother (Nyina wa chindichi) is kind."
Great-Grandfather,Khuka munene,Term for great-grandfather with a traditional Maragoli form,"Our great-grandfather (Khuka munene) is remembered."
Great-Grandmother,Kukhu munene,Term for great-grandmother; similar usage in Maragoli,"Our great-grandmother (Kukhu munene) is honored."
Grandchild,Mwizukha,Term for grandchild in Maragoli with consistent usage,"Our grandchild (Mwizukha) brings us joy."
Ancestor,Vasakuru,Plural form referring to forefathers or ancestors,"Our ancestors (Vasakuru) guide us."
Descendant,Omwisali,Term for a descendant in Maragoli lineage,"She is a proud descendant (Omwisali) of a great family."
Son-in-law,Mwiseke,Term for a son-in-law in Maragoli,"Her son-in-law (Mwiseke) is very hardworking."
Daughter-in-law,Mukhwana wa mukuru,Term for a daughter-in-law; follows Maragoli naming pattern,"Our daughter-in-law (Mukhwana wa mukuru) is part of the family."
Parents-in-law,Vakhwe,General term for parents-in-law, plural of Mukhwe,"His parents-in-law (Vakhwe) welcomed him warmly."
Orphan,Omukhana wa chinyafu,Term for an orphan, referring to a child without one or both parents,"The orphan (Omukhana wa chinyafu) was taken in by the village."
Twin,Vana va mapasa,Plural form for twins in Maragoli,"The twins (Vana va mapasa) are inseparable."
Co-wife,Muganyi,Term for a co-wife in a polygamous family,"Her co-wife (Muganyi) helped raise the children."
